E-SHOP POINT ΚΑΛΛΙΘΕΑ;ΛΕΩΦ. ΑΝΔΡΕΑ ΣΥΓΓΡΟΥ 212;ΚΑΛΛΙΘΕΑ;17672;37,953354;23,711880
E-SHOP POINT ΠΕΡΙΣΤΕΡΙ;ΣΟΛΩΜΟΥ 34-36;ΠΕΡΙΣΤΕΡΙ;12133;38,013616;23,709038
E-SHOP POINT ΜΕΝΙΔΙ;ΑΝΕΜΩΝΗΣ 6;ΑΧΑΡΝΕΣ;13671;38,085119;23,749980
ΚΩΤΣΟΒΟΛΟΣ;ΛΕΩΦ. ΚΗΦΙΣΙΑΣ 252;ΧΑΛΑΝΔΡΙ;15231;38,016797;23,786662
ΚΩΤΣΟΒΟΛΟΣ ΧΟΛΑΡΓΟΣ;ΜΕΣΟΓΕΙΩΝ 319;ΧΑΛΑΝΔΡΙ;15232;38,007214;23,800162
ΚΩΤΣΟΒΟΛΟΣ;ΛΕΩΦ. ΚΗΦΙΣΙΑΣ 124;ΑΘΗΝΑ;11526;37,995414;23,768480
ΚΩΤΣΟΒΟΛΟΣ ΑΓ. ΠΑΡΑΣΚΕΥΗ;ΜΕΣΟΓΕΙΩΝ 505;ΑΓ. ΠΑΡΑΣΚΕΥΗ;15343;38,013679;23,831918
ΚΩΤΣΟΒΟΛΟΣ;ΠΑΠΑΓΟΥ 30;ΖΩΓΡΑΦΟΥ;15771;37,978991;23,765330
ΚΩΤΣΟΒΟΛΟΣ;ΣΤΑΔΙΟΥ 34 & ΚΟΡΑΗ;ΑΘΗΝΑ;10564;37,979999;23,731848
ΚΩΤΣΟΒΟΛΟΣ;ΠΑΤΗΣΙΩΝ 101 & ΚΟΔΡΙΓΚΤΩΝΟΣ;ΑΘΗΝΑ;10434;37,995483;23,731992
ΚΩΤΣΟΒΟΛΟΣ;ΛΕΩΦ. ΒΟΥΛΙΑΓΜΕΝΗΣ 519;ΗΛΙΟΥΠΟΛΗ;17675;37,923979;23,744923
ΚΩΤΣΟΒΟΛΟΣ - ΣΥΓΓΡΟΥ;ΛΕΩΦ. ΑΝΔΡΕΑ ΣΥΓΓΡΟΥ 257-259;ΝΕΑ ΣΜΥΡΝΗ;17122;37,944201;23,701324
ΚΩΤΣΟΒΟΛΟΣ;ΛΕΩΦ. ΕΛ. ΒΕΝΙΖΕΛΟΥ 256;ΚΑΛΛΙΘΕΑ;17675;37,949509;23,691099
ΚΩΤΣΟΒΟΛΟΣ;ΤΑΞΙΑΡΧΩΝ 44;ΚΟΡΥΔΑΛΛΟΣ;18120;37,978071;23,651594
ΚΩΤΣΟΒΟΛΟΣ;ΛΕΩΦ. ΘΗΒΩΝ 205 & ΚΑΡΚΑΒΙΤΣΑ 2 & ΕΥΓΕΝΩΝ;ΠΕΡΙΣΤΕΡΙ;12134;38,016984;23,691629
ΚΩΤΣΟΒΟΛΟΣ;ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 46 & ΠΛΑΤΩΝΟΣ 5;ΠΕΙΡΑΙΑΣ;18535;37,941829;23,645687
MEDIA MARKT;ΛΕΩΦ. ΑΝΔΡΕΑ ΣΥΓΓΡΟΥ 340;ΚΑΛΛΙΘΕΑ;17673;37,944945;23,701039
MEDIA MARKT;ΛΕΩΦ. ΚΗΦΙΣΙΑΣ 49;ΜΑΡΟΥΣΙ;15123;38,036645;23,797147
MEDIA MARKT;ΛΕΩΦ. ΑΘΗΝΩΝ 64;ΑΘΗΝΑ;12136;38,001983;23,684473
MEDIA MARKT;ΛΕΟΝΤΟΣ 4;ΑΡΓΥΡΟΥΠΟΛΗ;16452;37,913189;23,743920
MEDIA MARKT;ΛΕΩΦ. ΜΑΡΑΘΩΝΟΣ 149;ΓΕΡΑΚΑΣ;15344;38,006895;23,863347
MEDIA MARKT;ΛΕΩΦ. ΧΑΛΑΝΔΡΙΟΥ 15Β;ΑΓ. ΠΑΡΑΣΚΕΥΗ;15343;38,014157;23,818236
